Feature,Coefficient
age,8.058086867355766e-17
mobile_obstacle,5.567554127583688e-17
total_number_lanes,4.9581557441354736e-17
lat,4.0520129959091816e-17
long,-6.6585444868424205e-18
reserved_lane_code,-1.0282064414215467e-17
distance_upstream_terminal,-3.766615043831687e-17
maximum_speed,-6.045071065868406e-17
infra,-8.594051071263753e-17
manv,-9.23961228139019e-17
longitudinal_profile,-1.8423382564560163e-16
surface_condition,-1.9732122697600952e-16
traffic_direction,-2.0032554902637696e-16
gender,-2.0904369812066414e-16
plan,-2.3134565695940994e-16
atm_condition,-2.343023595182019e-16
initial_impact_point,-2.48980495135492e-16
traffic_regime,-2.600242875035385e-16
lum,-3.024103723329775e-16
accident_situation,-3.1998986759700127e-16
motor,-3.5512672913593877e-16
user_category,-3.6964764171209044e-16
route_category,-4.372720279380334e-16
reason_travel,-4.904352687191007e-16
safety_equipment1,-5.581980184975945e-16
collision_type,-7.341719163486527e-16
fixed_obstacle,-8.255912924237174e-16
month,-8.806204401149993e-16
seat,-1.0803609542617547e-15
day,-2.056612388072222e-15
upstream_terminal_number,-3.0146627355399073e-15
vehicle_category,-4.954657336814977e-15
birth_year,-2.597012589448173e-13
year,-2.631836474870602e-13
time,-5.267391329809287e-09
